voltage,temperature
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
28.5,45.2
28.4,46.0
27.9,51.8
28.6,44.9
